epoch,reward
1,0.0
2,160.8
3,326.4
4,354.2
5,368.4
6,368.3
7,393.2
8,385.0
9,353.3
10,389.9
11,364.6
12,292.4
13,333.7
14,379.0
15,390.1
16,399.3
17,374.2
18,395.8
19,349.7
20,307.9
21,391.1
22,391.6
23,393.9
24,409.2
25,412.8
26,405.7
27,412.3
28,397.8
29,394.7
30,372.9
31,399.1
32,401.6
33,408.0
34,395.3
35,365.9
36,359.5
37,398.3
38,404.8
39,398.6
40,405.9
41,405.4
42,389.8
43,404.6
44,400.4
45,391.0
46,404.5
47,393.7
48,376.8
49,406.7
50,387.6
