epoch,reward
1,24.1
2,15.5
3,15.9
4,14.8
5,13.0
6,13.8
7,12.9
8,13.7
9,12.4
10,13.9
11,17.2
12,20.8
13,27.9
14,33.7
15,36.5
16,54.1
17,140.9
18,109.8
19,97.2
20,110.0
21,156.9
22,128.7
23,122.6
24,123.6
25,114.2
26,113.9
27,126.7
28,129.9
29,132.7
30,135.5
31,141.1
32,146.1
33,156.5
34,354.3
35,500.0
36,500.0
37,500.0
38,500.0
39,500.0
40,500.0
41,499.9
42,343.8
43,142.2
44,138.1
45,101.1
46,93.1
47,61.2
48,24.5
49,23.3
50,21.6
