epoch,reward
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,15.800000000000011
14,15.0
15,0.0
16,4.900000000000006
17,11.400000000000006
18,0.0
19,12.599999999999994
20,18.30000000000001
21,0.6999999999999886
22,0.0
23,0.0
24,0.0
25,4.400000000000006
26,30.5
27,48.80000000000001
28,52.0
29,51.599999999999994
30,21.30000000000001
31,0.0
32,41.599999999999994
33,38.400000000000006
34,48.0
35,33.099999999999994
36,35.5
37,37.900000000000006
38,33.80000000000001
39,39.400000000000006
40,41.400000000000006
41,53.599999999999994
42,47.400000000000006
43,49.400000000000006
44,44.19999999999999
45,47.099999999999994
46,42.19999999999999
47,39.400000000000006
48,48.69999999999999
49,52.900000000000006
50,55.400000000000006
