epoch,reward
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.5
11,8.900000000000006
12,7.199999999999989
13,2.1999999999999886
14,3.0999999999999943
15,37.5
16,40.900000000000006
17,28.69999999999999
18,30.099999999999994
19,27.400000000000006
20,17.599999999999994
21,58.900000000000006
22,73.5
23,69.9
24,53.19999999999999
25,39.900000000000006
26,31.599999999999994
27,44.599999999999994
28,51.5
29,57.900000000000006
30,80.2
31,69.4
32,75.9
33,64.69999999999999
34,75.6
35,81.8
36,82.3
37,77.3
38,50.30000000000001
39,46.69999999999999
40,49.099999999999994
41,44.19999999999999
42,25.0
43,0.0
44,0.5
45,0.30000000000001137
46,0.09999999999999432
47,0.0
48,0.0
49,0.0
50,0.0
