epoch,reward
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.5
10,24.599999999999994
11,37.099999999999994
12,35.69999999999999
13,27.80000000000001
14,34.099999999999994
15,27.0
16,15.199999999999989
17,22.099999999999994
18,17.69999999999999
19,50.900000000000006
20,39.30000000000001
21,50.69999999999999
22,58.5
23,60.30000000000001
24,60.5
25,69.5
26,49.0
27,47.19999999999999
28,57.400000000000006
29,53.099999999999994
30,55.5
31,51.19999999999999
32,42.19999999999999
33,54.19999999999999
34,51.900000000000006
35,49.69999999999999
36,60.0
37,63.69999999999999
38,49.0
39,51.80000000000001
40,49.19999999999999
41,49.900000000000006
42,54.599999999999994
43,46.599999999999994
44,53.099999999999994
45,49.69999999999999
46,35.80000000000001
47,49.900000000000006
48,11.0
49,5.800000000000011
50,0.0
