epoch,reward
1,115.30000000000001
2,352.8
3,373.6
4,347.6
5,374.0
6,362.8
7,381.7
8,385.5
9,391.1
10,381.2
11,395.0
12,397.6
13,384.1
14,395.3
15,401.3
16,407.0
17,403.4
18,399.2
19,399.0
20,406.1
21,401.5
22,384.1
23,402.0
24,409.7
25,359.4
26,392.5
27,406.7
28,410.5
29,415.2
30,399.2
31,410.2
32,408.3
33,396.6
34,377.8
35,399.8
36,402.6
37,415.9
38,404.2
39,391.6
40,413.0
41,391.6
42,413.9
43,392.5
44,407.5
45,331.1
46,414.1
47,413.6
48,408.9
49,411.0
50,404.2
